address,name,chainId
0x06228b709Ed3c8344ae61e64b48204174d2e48B5,Asset_BOB_Pool_BOB,42161
0x75Eaa804518a66196946598317Aed57Ef86235Fe,Asset_BOB_Pool_USDCe,42161
0xf4B72e9a18E4b7C65165E437c57ff6b6202E4505,Asset_FRAX_Pool_FRAX,42161
0x51880CEE87bF2F5ffb1AbC84E20889771b025D0A,Asset_FRAX_Pool_MAI,42161
0xF9C2356a21B60c0c4DDF2397f828dd158f82a274,Asset_FRAX_Pool_USD+,42161
0x502a88FFCeb9363BEFD1B1c78265FC3ac8ABd3a2,Asset_FRAX_Pool_USDCe,42161
0x7A8ce23c361a6A93AD8f443a31b20a8617d1A59a,Asset_MIM_Pool_MIM,42161
0x4552E884da00BacEB30D86458460C24957e65C1F,Asset_MIM_Pool_USDT,42161
0x0Fa7b744F18D8E8c3D61B64b110F25CC27E73055,Asset_MainPool_DAI,42161
0xE5232c2837204ee66952f365f104C09140FB2E43,Asset_MainPool_USDC,42161
0x2977b0B54a76c2b56D32cef19f8ea83Cc766cFD9,Asset_MainPool_USDCe,42161
0x85cEBD962861be410a777755dFa06914de6af003,Asset_MainPool_USDT,42161
0x51E073D92b0c226F7B0065909440b18A85769606,Asset_USDPlus_Pool_DAI+,42161
0xBd7568d25338940ba212e3F299D2cCC138fA35F0,Asset_USDPlus_Pool_USD+,42161
0x6ADd078996308547C57B052549a19c5f66BF42C8,Asset_USDPlus_Pool_USDCe,42161
0x90971596f486521F496dC05fAEb90837a5F19108,Asset_WstETH_Pool_WETH,42161
0xEB7e2f8Efac7Ab8079837417b65cD927f05F7465,Asset_WstETH_Pool_wstETH,42161
0x35c462B3396359CAe6c5b40c24e0859B1f1Bc6aC,Asset_ankrETH_Pool_WETH,42161
0x2290281060F2cE6BB73DcCF9b1735bC366f3f2C4,Asset_ankrETH_Pool_ankrETH,42161
0x625b37bbBb725d168Fdc94FE1e73b200dD01F08b,Asset_ePendle_Pool_PENDLE,42161
0x1Bd8cE3BA10F7C299793da3A146917da5eA18EeB,Asset_ePendle_Pool_ePendle,42161
0xB75eD91d1654e586015d72cAbBc8F4B8B9AA0fD9,Asset_fUSDC_Pool_USDCe,42161
0xc74a9d15037886Ea357F0ef243C50010B11133cB,Asset_fUSDC_Pool_fUSDC,42161
0xe62880CC6872c9E9Fb1DDd73f400850fdaBE798D,Asset_frxETH_Pool_WETH,42161
0x6966553568634F4225330D559a8783DE7649C7D3,Asset_frxETH_Pool_frxETH,42161
0x2a20202A6F740200BA188F6D72fa72a08a346Aaa,Asset_frxETH_Pool_sfrxETH,42161
0x4688300D46eF400C3506a165d5bDCa6A51350978,Asset_jUSDC_Pool_USDCe,42161
0xde509fE1555ab907E5C29f987ba0BE1AC0626dAe,Asset_jUSDC_Pool_jUSDC,42161
0xb4bEb0fDf0163a39D39b175942E7973da2c336Fb,Asset_mPendle_Pool_PENDLE,42161
0x5aD0b68c8544D475ee73ffd4c8dfe7E273b01266,Asset_mPendle_Pool_mPendle,42161
0x59d8DCA660b71Ba97a16f781A40809a0fC350769,Asset_mWOM_Pool_WOM,42161
